The Schools extracted from The CSV File
School [Name=﻿Name , Lat=lat , Lng=lng , Rate=rating]
School [Name=Amadoda Ayasebenza (PTY) LTD , Lat=-26.2548332 , Lng=27.9101229 , Rate=0]
School [Name=Anchor High School , Lat=-26.219638 , Lng=27.914014 , Rate=3.8]
School [Name=Ann Latsky Nursing College , Lat=-26.1869058 , Lng=27.9899004 , Rate=3.6]
School [Name=Aurora Girls High School , Lat=-26.2401746 , Lng=27.8470472 , Rate=4]
School [Name=BAM PUBLISHERS (PTY) LTD , Lat=-26.20312 , Lng=27.877507 , Rate=2]
School [Name=BHUKULANI HIGH SCHOOL , Lat=-26.233524 , Lng=27.867531 , Rate=4.7]
School [Name=BTC-Soweto , Lat=-26.2591331 , Lng=27.8855981 , Rate=0]
School [Name=Bafikile Primary School , Lat=-26.27106 , Lng=27.86843 , Rate=4]
School [Name=Basa Primary School , Lat=-26.2745949 , Lng=27.804556 , Rate=2.4]
School [Name=Boston City Campus & Business College , Lat=-26.20666 , Lng=28.04652 , Rate=3]
School [Name=Boston City Campus & Business College - Maponya Mall , Lat=-26.2581542 , Lng=27.9016007 , Rate=4.7]
School [Name=Boston City Campus & Business College Roodeport , Lat=-26.13998 , Lng=27.86897 , Rate=4]
School [Name=CAREER COMPUTER TRAINING & CALL CENTER TRAINING COLLEGE , Lat=-26.202 , Lng=28.039957 , Rate=4.2]
School [Name=CTU Training Solutions Roodepoort , Lat=-26.1429775 , Lng=27.8700032 , Rate=4.7]
School [Name=Calvary Christian College , Lat=-26.2857038 , Lng=27.9920359 , Rate=0]
School [Name=Central Johannesburg College Langlaagte , Lat=-26.2070538 , Lng=27.9882956 , Rate=0]
School [Name=Curtis Nkondo School Of Specialization , Lat=-26.2391627 , Lng=27.8221496 , Rate=4]
School [Name=Daliwonga Secondary School , Lat=-26.2320407 , Lng=27.8891019 , Rate=4.2]
School [Name=Delrado Primary School , Lat=-26.3034453 , Lng=27.8948003 , Rate=4]
School [Name=Diepdale Secondary School , Lat=-26.2479409 , Lng=27.937536 , Rate=3.6]
School [Name=Ditau Primary School , Lat=-26.24879 , Lng=27.92174 , Rate=5]
School [Name=Dr Vilakazi High School , Lat=-26.238362 , Lng=27.830724 , Rate=4.1]
School [Name=Edutel , Lat=-26.1403891 , Lng=27.8703384 , Rate=0]
School [Name=Eldocrest Primary School , Lat=-26.2869591 , Lng=27.8975504 , Rate=3.9]
School [Name=Eldorado Park Primary School , Lat=-26.295086 , Lng=27.8976761 , Rate=2.5]
School [Name=Eldridge Primary School , Lat=-26.29739 , Lng=27.92046 , Rate=3]
School [Name=Emadwaleni Secondary School , Lat=-26.2281749 , Lng=27.9174908 , Rate=4.6]
School [Name=Emisebeni Junior Primary School , Lat=-26.23742 , Lng=27.88147 , Rate=5]
School [Name=Emndeni Primary School , Lat=-26.2429169 , Lng=27.821562 , Rate=0]
School [Name=Forte High School , Lat=-26.214617 , Lng=27.866853 , Rate=4.8]
School [Name=Forte Secondary School , Lat=-26.2144492 , Lng=27.8672428 , Rate=3.8]
School [Name=Freedom Primary School , Lat=-26.2959054 , Lng=27.9294923 , Rate=4]
School [Name=Funda Community College , Lat=-26.2577529 , Lng=27.934676 , Rate=4]
School [Name=Funda UJabule Primary School , Lat=-26.262558 , Lng=27.91509 , Rate=4.7]
School [Name=Gazankulu Primary School , Lat=-26.2860799 , Lng=27.86421 , Rate=5]
School [Name=George Khosa Secondary School , Lat=-26.22159 , Lng=27.86087 , Rate=3.5]
School [Name=Glenridge Primary School , Lat=-26.2737423 , Lng=27.7893531 , Rate=5]
School [Name=Greenwich College , Lat=-26.16453 , Lng=27.91637 , Rate=5]
School [Name=Hector Peterson School/Ukhozi Primary School , Lat=-26.2264033 , Lng=27.8492996 , Rate=0]
School [Name=I C E Computer College , Lat=-26.15997 , Lng=27.86768 , Rate=0]
School [Name=IET Fire Rescue and EMS Academy , Lat=-26.16575 , Lng=27.8626152 , Rate=1.5]
School [Name=INSTITUTE FOR QUALITY , Lat=-26.1722639 , Lng=27.913371 , Rate=4]
School [Name=INTEC COLLEGE , Lat=-26.195434 , Lng=28.036357 , Rate=1.4]
School [Name=Ibhongo Secondary School , Lat=-26.2725039 , Lng=27.874548 , Rate=4]
School [Name=Ikusasalethu Secondary School , Lat=-26.1918497 , Lng=27.8313482 , Rate=0]
School [Name=Immaculata Secondary School , Lat=-26.2527729 , Lng=27.942053 , Rate=4.5]
School [Name=Indyebo Primary School , Lat=-26.23827 , Lng=27.84428 , Rate=0]
School [Name=Izipho Zomphakathi Multiskills , Lat=-26.2768671 , Lng=27.8648 , Rate=0]
School [Name=JORDAN THEOLOGGICAL INSTITUTE , Lat=-26.202619 , Lng=27.876563 , Rate=0]
School [Name=Jabulani Technical School , Lat=-26.245112 , Lng=27.856508 , Rate=4]
School [Name=Johannesburg Bible College , Lat=-26.1893724 , Lng=27.9931137 , Rate=5]
School [Name=Johannesburg Bible College. Soweto Campus , Lat=-26.2569387 , Lng=27.9158981 , Rate=0]
School [Name=Kholwani Primary School , Lat=-26.2428299 , Lng=27.852 , Rate=3.6]
School [Name=Khotso Primary School , Lat=-26.2712909 , Lng=27.851454 , Rate=5]
School [Name=Klip Valley Primary School , Lat=-26.242442 , Lng=27.808396 , Rate=0]
School [Name=Kliptown Primary School , Lat=-26.2953999 , Lng=27.88856 , Rate=5]
School [Name=Kwadedangendlale High School , Lat=-26.2347039 , Lng=27.844361 , Rate=4]
School [Name=LSI College , Lat=-26.150864 , Lng=27.926158 , Rate=4.5]
School [Name=Lancea Vale Secondary School , Lat=-26.2871873 , Lng=27.9130573 , Rate=4.3]
School [Name=Lebo Sibi , Lat=-26.2757141 , Lng=27.8117332 , Rate=0]
School [Name=LechekoPowerYourMind , Lat=-26.251995 , Lng=27.849839 , Rate=0]
School [Name=Lethabo Primary School , Lat=-26.24972 , Lng=27.823244 , Rate=3]
School [Name=Life College Of Learning Westrand , Lat=-26.1919564 , Lng=27.9241679 , Rate=0]
School [Name=Little Angels Pre School , Lat=-26.2792495 , Lng=27.8062282 , Rate=3]
School [Name=Lufhereng High School , Lat=-26.2319729 , Lng=27.7985155 , Rate=5]
School [Name=Mafori - Mphahlele High School , Lat=-26.255799 , Lng=27.863304 , Rate=5]
School [Name=Makentse , Lat=-26.2374065 , Lng=27.8078506 , Rate=0]
School [Name=Mapetla High School , Lat=-26.27364 , Lng=27.84619 , Rate=3]
School [Name=Mayibuye Primary School , Lat=-26.2206825 , Lng=27.8185942 , Rate=2.7]
School [Name=Meadowlands High School , Lat=-26.215708 , Lng=27.895514 , Rate=3.3]
School [Name=Megatong Primary School , Lat=-26.27573 , Lng=27.8514 , Rate=4]
School [Name=Mncube Secondary School , Lat=-26.22761 , Lng=27.88115 , Rate=3.7]
School [Name=Modise Computer College , Lat=-26.166101 , Lng=27.86832 , Rate=0]
School [Name=Moletsane Secondary School , Lat=-26.2545499 , Lng=27.85119 , Rate=5]
School [Name=Morris Isaacson High School , Lat=-26.24608 , Lng=27.872452 , Rate=4.5]
School [Name=Motekematics Institute for Mathematics , Lat=-26.17548 , Lng=27.79314 , Rate=0]
School [Name=Mxolisi Primary School , Lat=-26.23968 , Lng=27.86186 , Rate=0]
School [Name=Naledi High School , Lat=-26.2506089 , Lng=27.831194 , Rate=3.6]
School [Name=Neksatec , Lat=-26.15733 , Lng=27.90877 , Rate=5]
School [Name=Netcare Training Academy (N.T.A) , Lat=-26.18845 , Lng=28.01271 , Rate=3.8]
School [Name=Nomzamo Madikizela Mandela Primary School , Lat=-26.186226 , Lng=27.831177 , Rate=0]
School [Name=Noordgesig Secondary School , Lat=-26.22825 , Lng=27.93543 , Rate=4]
School [Name=Oasis Manor , Lat=-26.1916317 , Lng=27.6995557 , Rate=5]
School [Name=Orlando High School , Lat=-26.230698 , Lng=27.926259 , Rate=4]
School [Name=PC Training & Business College , Lat=-26.258319 , Lng=27.942437 , Rate=0]
School [Name=Pace Community College , Lat=-26.240036 , Lng=27.854647 , Rate=4]
School [Name=Penguin Aquatic Swim School , Lat=-26.273884 , Lng=27.899241 , Rate=0]
School [Name=Peter Lengene Community Learning Centre , Lat=-26.2582484 , Lng=27.9161679 , Rate=0]
School [Name=Phafogang Secondary School , Lat=-26.2673203 , Lng=27.8671981 , Rate=2]
School [Name=Pq vundla , Lat=-26.263621 , Lng=27.8622817 , Rate=4]
School [Name=Prestige College , Lat=-26.2719769 , Lng=27.7706557 , Rate=0]
School [Name=Protea Glen College , Lat=-26.276664 , Lng=27.821564 , Rate=4.3]
School [Name=ROYAL COLLEGE , Lat=-26.171561 , Lng=27.909915 , Rate=4]
School [Name=Rebone Primary School , Lat=-26.25611 , Lng=27.81666 , Rate=3.5]
School [Name=Rhodes FET Technical College , Lat=-26.3203839 , Lng=27.825767 , Rate=3]
School [Name=Saint Barnabas College , Lat=-26.18984 , Lng=27.95108 , Rate=5]
School [Name=Saint Ives Primary School , Lat=-26.2950999 , Lng=27.87319 , Rate=4.8]
School [Name=Saint Martin De Porres High School , Lat=-26.22805 , Lng=27.91265 , Rate=4.8]
School [Name=Silver Oaks Secondary School , Lat=-26.2902399 , Lng=27.91733 , Rate=4.6]
School [Name=Sivuleleni Primary School , Lat=-26.2351399 , Lng=27.84317 , Rate=4.5]
School [Name=Siyabonga Secondary School , Lat=-26.190839 , Lng=27.862424 , Rate=4.8]
School [Name=Sizwile School For Deaf Children , Lat=-26.2154609 , Lng=27.861097 , Rate=4.7]
School [Name=South West College , Lat=-26.2136639 , Lng=27.873929 , Rate=0]
School [Name=South West College Corporate Office , Lat=-26.2649429 , Lng=27.8605697 , Rate=4.2]
School [Name=South West Gaugteng College Of Engineer , Lat=-26.1534144 , Lng=27.8595049 , Rate=3]
School [Name=South West Gauteng College - Roodepoort Campus , Lat=-26.1404831 , Lng=27.8677946 , Rate=2.6]
School [Name=South West Gauteng TVET College - Roodeport , Lat=-26.2135569 , Lng=27.874307 , Rate=3.5]
School [Name=Southwest Media College , Lat=-26.192122 , Lng=28.035905 , Rate=3.3]
School [Name=Soweto College of Education , Lat=-26.2596399 , Lng=27.9112851 , Rate=3]
School [Name=Sparrow FET College , Lat=-26.172191 , Lng=27.9848115 , Rate=5]
School [Name=St Barnbas College , Lat=-26.1898377 , Lng=27.9517133 , Rate=4.9]
School [Name=St Matthews School , Lat=-26.259996 , Lng=27.881219 , Rate=3.8]
School [Name=St Peter Claver Catholic School , Lat=-26.2720959 , Lng=27.900649 , Rate=2.5]
School [Name=Teacher Development Centre (Central District D14) , Lat=-26.2660226 , Lng=27.8742959 , Rate=0]
School [Name=Thakhisa Primary School , Lat=-26.2111451 , Lng=27.8810477 , Rate=4]
School [Name=Thathani Primary School , Lat=-26.238322 , Lng=27.844404 , Rate=0]
School [Name=The Plumbing Academy , Lat=-26.2711408 , Lng=27.8767347 , Rate=1]
School [Name=Thulani Secondary School , Lat=-26.2168081 , Lng=27.8277375 , Rate=3.7]
School [Name=UKWAZI SCHOOL OF NURSING , Lat=-26.139497 , Lng=27.8676667 , Rate=4.4]
School [Name=Ukwazi Skills Campus Pty Ltd , Lat=-26.13946 , Lng=27.8676727 , Rate=4]
School [Name=University of Johannesburg: Soweto Campus , Lat=-26.2614269 , Lng=27.922561 , Rate=4.4]
School [Name=Vukazenzele Primary School , Lat=-26.2349599 , Lng=27.87812 , Rate=0]
School [Name=WO BIBLE COLLEGE , Lat=-26.26606 , Lng=27.87366 , Rate=5]
School [Name=Western College TVET , Lat=-26.18854 , Lng=27.67719 , Rate=3.7]
School [Name=Winnie Madikizela-Mandela School , Lat=-26.2729123 , Lng=27.8689629 , Rate=5]
School [Name=Zerowa Christian Academy , Lat=-26.2871157 , Lng=27.8960542 , Rate=5]
School [Name=reabetswe abby plumbing academy , Lat=-26.264088 , Lng=27.863404 , Rate=1]
School [Name=﻿Name , Lat=lat , Lng=lng , Rate=rating]
